mineral_name,mineral_frequency,sample_label,rock_name,classification,latitude,longitude,doi/ref,igsn,analytical_method,data_source,SiO2,TiO2,Al2O3,FeO,MnO,MgO,Cr2O3,Fe2O3,CaO,Na2O,K2O,P2O5,NiO,BaO,CO2,(SO3)2-,SO2,PbO,SrO,ZrO2,Nb2O5,B2O3,WO3,As2O5,ZnO,MoO3,CuO,CdO,Mn2O3,Cu2O,SnO,BeO,SnO2,H2O,F,Cl,Si,Ti,Al,Fe,S,Cu,Pb,Zn,Co,Ni,As,Ag,Sb,Hg,Bi,Te,Mo,Mn,Mg,Ca,Na,K,Cr,Sr,Ba,Y2O3,Sc2O3,La2O3,Ce2O3,Pr2O3,Nd2O3,Sm2O3,Gd2O3,Dy2O3,ThO2,UO2,Tb2O3,ThO2.1,Tb2O3.1,ThO2 ,Tb2O3 
actinolite,Common,samp. SJDD011,Gabbro,Not given,48.69,-3.77,[26504] POCHON A. (2023),Not given,Not given,GEOROC,55.0,0.16221,2.0,13.13392,0.17765,16.27241,,,12.0,0.18758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,Common,samp. SJDD006,Gabbro,Not given,48.69,-3.77,[26504] POCHON A. (2023),Not given,Not given,GEOROC,56.0,,1.0,12.09449,0.26219,16.06495,,,13.0,0.12781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,Common,samp. 1159.3,Gabbro,Not given,69.0,86.0,[24191] SLUZHENIKIN S. F. (2020),Not given,Not given,GEOROC,51.0,0.45,4.0,17.1,0.25,12.62,,,12.0,0.75,0.36,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,Common,"samp. 67-499B-10-1, 40-46",Tholeiitic basalt,Not given,12.6705,-90.9447,[12795] MAURY R. C. (1982),Not given,Not given,GEOROC,52.0,0.18,3.0,15.05,0.44,14.42,0.01,,13.0,0.65,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,Common,557 LOMROG_09-PC01_70.3-72.3 cm 34,Not given,Not given,88.54,133.48,https://doi.org/10.1594/PANGAEA.870973,Not Given,EPMA,Pangaea,51.847,0.465,1.733,11.751,0.168,17.008,,,16.656,0.174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,Common,samp. SJDD022,Gabbro,Not given,48.69,-3.77,[26504] POCHON A. (2023),Not given,Not given,GEOROC,55.0,0.0917,2.0,12.23142,0.27478,16.24281,,,13.0,0.28606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aegirine,Uncommon,samp. SMG126,"Benmoreite, nepheline",Not given,-21.09,14.01,[2414] EWART A. (1998),Not given,Not given,GEOROC,49.37,0.69,0.23,18.12,0.27,2.6,,7.17,13.36,4.64,,,,,,,,,,3.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aegirine,Uncommon,samp. KONTOZERO,Phonolite,Not given,68.15,36.22,[18414] PETROVSKY M. N. (2012),Not given,Not given,GEOROC,51.81,2.2,1.03,,0.26,1.48,,28.14,1.77,12.95,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aegirine,Uncommon,samp. BMR 83210290,"Lamproite, diopside-richterite-phlogopite-leucite",Not given,-18.4,123.8,[18326] JAQUES A. L. (1986),Not given,Not given,GEOROC,51.12,5.11,,2.36,0.08,1.43,0.05,24.45,1.8,12.65,0.4,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aegirine,Uncommon,samp. 229146,Not given,Not given,66.5,-51.25,[18281] SECHER K. (1980),Not given,Not given,GEOROC,50.87,0.66,1.65,,,1.67,,27.82,3.78,12.49,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
